title,brand,categories,description,tags,image-link,site-link
Wooden Styling Comb,Eco Living,"['Haircare', 'Brushes & Combs']","A beautiful beech wood comb with rounded teeth. Natural or wooden bristles are gentle to the hair structure and avoid damage, would suit thick or curly hair.","['Natural', 'Plastic Free', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/08/bamboo-comb-large-teeth-600x600.jpg,https://www.peacewiththewild.co.uk/product/wooden-styling-comb/
Organic Linen Reusable Coffee Filters No 4 – 2 Pack,Marley's Monsters,"['Kitchen', 'Kitchen Essentials']","Reusable coffee filters in the cone style by Marley’s Monster. These reusable coffee filters are made with 100% Organic Unbleached Linen and offer a solution to disposable filters. Cotton thread ensures a long life, and plastic free coffee experience.","['Vegan', 'Natural', 'Plastic Free', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2022/05/marleys-monsters-coffee-filters-2-pk-01-600x600.jpg,https://www.peacewiththewild.co.uk/product/organic-linen-reusable-coffee-filters-no-4-2-pack/
Bamboo Toothbrush Soft Bristles – 4 Pack,Bambaw,"['Bathroom', 'Toothbrushes']",A family pack of 4 sustainably sourced bamboo toothbrushes by Bambaw each with a unique panda paw print for each member of the family.  Made with soft BPA free nylon bristles these ergonomic wooden handle brushes are 100% recyclable and biodegradable with the bamboo handle being compostable at the end of its life.,"['Vegan', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/01/bambaw-soft-toothbrush-4-pack-600x600.jpg,https://www.peacewiththewild.co.uk/product/bamboo-toothbrush-soft-bristles-4-pack/
Wide Neck Baby Glass Bottle With Sleeve – Seafoam Blue 250ml,Hevea,"['Mama & Baby', 'Baby Bottles']","HEVEA Wide Neck Baby Glass Bottle, the first Danish-designed plastic-free solution for your little one. This practical bottle is perfect for formula milk, thanks to its wider neck for easy spooning. With a natural rubber sleeve, it protects hands from heat and safeguards the robust borosilicate bottle. The pack includes a 250ml/8.5oz bottle, anti-colic nipple, vacuum-sealing cap, and sleeve. No leaks or spills with the one-piece natural rubber nipple and vacuum-seal cap. Experience the cherry-shaped, ribbed nipple that mimics a mum’s breast with an integrated anti-colic valve.","['Vegan', 'Palm Oil Free', 'Plastic Free', 'Recyclable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/07/Hevea-Bottle-With-Sleeve-Seafoam-Blue-250ml-600x600.jpg,https://www.peacewiththewild.co.uk/product/wide-neck-baby-glass-bottle-with-sleeve-seafoam-blue-250ml/
Eye Time – Caffeinated Probiotic Eye Cream,Awake Organics,"['Skincare', 'Eye Creams']","Eye Time is a lightweight eye cream that glides across your delicate eye area and absorbs quickly, leaving no greasy residue. Great for reducing puffiness, eye bags and redness. It hydrates beautifully and wears exceptionally well under make-up. Easily dispense your perfect amount from the larger-than-standard, 17ml glass bottle. You only need a small amount for great results. With an essential oil blend of Ylang Ylang, Sweet Orange, Mandarin, Lavender and Patchouli, skin will smell aromatic with fresh aromas that invigorate the senses and soothe the skin, penetrating for deep hydration. Reconnect with the sparkle in your eyes thanks to Awake Organics and their highly effective eye cream.","['Vegan', 'Natural', 'Recyclable', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2022/11/awake-eye-time-01-600x600.jpg,https://www.peacewiththewild.co.uk/product/eye-time-caffeinated-probiotic-eye-cream/
Rose Hip & Coconut Facial Soap Bar – 100g,Bain & Savon,"['Bathroom', 'Soap Bars', 'Facial Cleansing Soap Bars']","Soothing rose hip and coconut facial soap bar by Bain & Savon. Ideal to use for your daily cleansing routine. Blended with rose hip and coconut this facial soap bar has excellent soothing and anti-inflammation properties, perfect for reducing redness and blemishes.","['Vegan', 'Natural', 'Plastic Free', 'Biodegradable', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/04/facial-soap-rosehip-600x600.jpg,https://www.peacewiththewild.co.uk/product/rose-hip-coconut-facial-soap-bar-bain-savon/
Calm Relaxing Plastic Free Tea Bags,Teapigs,"['Food & Drink', 'Tea']","Organic Teapigs Calm with relaxing valerian. Blended with organic chamomile, organic lemongrass, organic lemon balm, organic valerian root, natural lemon-lime flavourings.","['Plastic Free', 'Natural', 'Vegan']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/09/teapigs-calm-tea-bags-600x600.jpg,https://www.peacewiththewild.co.uk/product/calm-relaxing-plastic-free-tea-bags/
Matcha Spoon – 2.5ml,Teapigs,"['Food & Drink', 'Tea']","Teapigs matcha spoon is the perfect 1g measure for your matcha serving. With a long handle ideal for reaching the bottom of your 80g tin! With the teapigs logo on the front and “no airs, no graces, just fine tea” on the reverse.",[],https://www.peacewiththewild.co.uk/wp-content/uploads/2020/09/teapigs-small-scoop-600x600.jpg,https://www.peacewiththewild.co.uk/product/matcha-spoon-2-5ml/
Shampoo Bar – Rosemary (Dark Hair),Bain & Savon,"['Haircare', 'All Shampoo', 'Shampoo Bars']","Handmade in the UK by Bain & Savon this rosemary natural shampoo bar for dark hair, made using only 100% natural ingredients. Infused with homegrown rosemary with a spicy fresh fragrance. Works perfectly for those with dark hair, however it can be used on other hair colours.","['Vegan', 'Natural', 'Plastic Free', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/03/Bain-Savon-Rosemary-New-Packaging-600x600.jpg,https://www.peacewiththewild.co.uk/product/shampoo-bar-rosemary-dark-hair-bain-savon/
Olive Oil Soap – Strawberry and Mint – 125g,Helleo,['Bathroom'],"Indulge in the luxurious blend of nature and rejuvenation with Helleo Olive Oil Soap, enriched with the refreshing essence of Strawberry and Mint. Weighing in at 125g, this artisanal soap is handcrafted with the finest organic olive oil, ensuring your skin receives the nourishment it deserves. The delightful combination of sweet strawberry and invigorating mint not only tantalizes your senses but also provides a gentle, refreshing cleanse that leaves your skin feeling silky smooth and radiant. Suitable for all skin types and ideal for face, body and even your hair! Elevate your daily skincare routine with this exquisite soap that embodies purity and elegance. Treat yourself to the ultimate bathing experience with Helleo Olive Oil Soap and discover the secret to naturally glowing skin.","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Handmade', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/07/helleo-strawberry-mint-olive-oil-soap-600x594.jpg,https://www.peacewiththewild.co.uk/product/olive-oil-soap-strawberry-and-mint-125g/
